,geometry,lat,long,date,NO2,date_int
0,"POLYGON ((-122.89 38.35999999999994, -122.81 38.35999999999994, -122.81 38.43999999999994, -122.89 38.43999999999994, -122.89 38.35999999999994))",38.39999999999994,-122.85000000000001,2020-03-01,,15
1,"POLYGON ((-122.84 38.35999999999994, -122.76 38.35999999999994, -122.76 38.43999999999994, -122.84 38.43999999999994, -122.84 38.35999999999994))",38.39999999999994,-122.80000000000001,2020-03-01,,15
2,"POLYGON ((-122.79 38.35999999999994, -122.71 38.35999999999994, -122.71 38.43999999999994, -122.79 38.43999999999994, -122.79 38.35999999999994))",38.39999999999994,-122.75000000000001,2020-03-01,,15
3,"POLYGON ((-122.74 38.35999999999994, -122.66 38.35999999999994, -122.66 38.43999999999994, -122.74 38.43999999999994, -122.74 38.35999999999994))",38.39999999999994,-122.70000000000002,2020-03-01,,15
4,"POLYGON ((-122.69 38.35999999999994, -122.61 38.35999999999994, -122.61 38.43999999999994, -122.69 38.43999999999994, -122.69 38.35999999999994))",38.39999999999994,-122.65000000000002,2020-03-01,,15
5,"POLYGON ((-122.64 38.35999999999994, -122.56 38.35999999999994, -122.56 38.43999999999994, -122.64 38.43999999999994, -122.64 38.35999999999994))",38.39999999999994,-122.60000000000002,2020-03-01,,15
6,"POLYGON ((-122.59 38.35999999999994, -122.51 38.35999999999994, -122.51 38.43999999999994, -122.59 38.43999999999994, -122.59 38.35999999999994))",38.39999999999994,-122.55000000000003,2020-03-01,,15
7,"POLYGON ((-122.54 38.35999999999994, -122.46 38.35999999999994, -122.46 38.43999999999994, -122.54 38.43999999999994, -122.54 38.35999999999994))",38.39999999999994,-122.50000000000003,2020-03-01,,15
8,"POLYGON ((-122.49 38.35999999999994, -122.41 38.35999999999994, -122.41 38.43999999999994, -122.49 38.43999999999994, -122.49 38.35999999999994))",38.39999999999994,-122.45000000000003,2020-03-01,,15
9,"POLYGON ((-122.44 38.35999999999994, -122.36 38.35999999999994, -122.36 38.43999999999994, -122.44 38.43999999999994, -122.44 38.35999999999994))",38.39999999999994,-122.40000000000003,2020-03-01,,15
10,"POLYGON ((-122.39 38.35999999999994, -122.31 38.35999999999994, -122.31 38.43999999999994, -122.39 38.43999999999994, -122.39 38.35999999999994))",38.39999999999994,-122.35000000000004,2020-03-01,,15
11,"POLYGON ((-122.34 38.35999999999994, -122.26 38.35999999999994, -122.26 38.43999999999994, -122.34 38.43999999999994, -122.34 38.35999999999994))",38.39999999999994,-122.30000000000004,2020-03-01,,15
12,"POLYGON ((-122.29 38.35999999999994, -122.21 38.35999999999994, -122.21 38.43999999999994, -122.29 38.43999999999994, -122.29 38.35999999999994))",38.39999999999994,-122.25000000000004,2020-03-01,,15
13,"POLYGON ((-122.2400000000001 38.35999999999994, -122.16 38.35999999999994, -122.16 38.43999999999994, -122.2400000000001 38.43999999999994, -122.2400000000001 38.35999999999994))",38.39999999999994,-122.20000000000005,2020-03-01,,15
14,"POLYGON ((-122.1900000000001 38.35999999999994, -122.11 38.35999999999994, -122.11 38.43999999999994, -122.1900000000001 38.43999999999994, -122.1900000000001 38.35999999999994))",38.39999999999994,-122.15000000000005,2020-03-01,,15
15,"POLYGON ((-122.1400000000001 38.35999999999994, -122.06 38.35999999999994, -122.06 38.43999999999994, -122.1400000000001 38.43999999999994, -122.1400000000001 38.35999999999994))",38.39999999999994,-122.10000000000005,2020-03-01,,15
16,"POLYGON ((-122.0900000000001 38.35999999999994, -122.01 38.35999999999994, -122.01 38.43999999999994, -122.0900000000001 38.43999999999994, -122.0900000000001 38.35999999999994))",38.39999999999994,-122.05000000000005,2020-03-01,,15
